Date,Open,High,Low,Close,Adj Close,Volume
2020-02-04,3.920000,3.980000,3.890000,3.960000,3.943500,29709900
2020-02-05,4.010000,4.030000,3.940000,4.030000,4.013208,27448400
2020-02-06,4.010000,4.220000,3.950000,4.200000,4.182500,90257800
2020-02-07,4.280000,4.420000,4.260000,4.370000,4.351791,102719700
2020-02-10,4.290000,4.310000,4.170000,4.260000,4.242250,63116700
2020-02-11,4.430000,4.530000,4.380000,4.410000,4.391625,82755600
2020-02-12,4.430000,4.490000,4.390000,4.410000,4.391625,34736900
2020-02-13,4.340000,4.400000,4.320000,4.340000,4.321917,30693500
2020-02-14,4.310000,4.330000,4.280000,4.330000,4.311958,23030800
2020-02-18,4.240000,4.250000,4.210000,4.250000,4.232292,22425300
2020-02-19,4.230000,4.250000,4.200000,4.200000,4.182500,26638600
2020-02-20,4.180000,4.190000,4.100000,4.160000,4.142666,25590400
2020-02-21,4.140000,4.180000,4.110000,4.160000,4.142666,21086100
2020-02-24,4.010000,4.070000,4.000000,4.020000,4.003250,35855100
2020-02-25,4.040000,4.040000,3.900000,3.910000,3.893708,35960600
2020-02-26,3.990000,4.430000,3.950000,4.150000,4.132709,93267200
2020-02-27,4.010000,4.120000,3.940000,3.960000,3.943500,62126700
2020-02-28,3.850000,3.890000,3.780000,3.870000,3.853875,58527100
2020-03-02,3.910000,3.960000,3.850000,3.930000,3.913625,41572100
2020-03-03,3.920000,3.960000,3.730000,3.790000,3.774208,45558100
2020-03-04,3.840000,3.860000,3.770000,3.860000,3.843917,23839600
2020-03-05,3.760000,3.790000,3.660000,3.660000,3.644750,35255400
2020-03-06,3.620000,3.660000,3.510000,3.570000,3.555125,39638300
2020-03-09,3.340000,3.450000,3.300000,3.310000,3.296208,54609300
2020-03-10,3.390000,3.400000,3.210000,3.320000,3.306167,42384200
2020-03-11,3.240000,3.260000,3.070000,3.130000,3.116958,41293600
2020-03-12,2.840000,2.930000,2.610000,2.610000,2.599125,51754600
2020-03-13,2.820000,2.830000,2.540000,2.740000,2.728583,31675100
2020-03-16,2.380000,2.540000,2.380000,2.420000,2.409917,27259500
2020-03-17,2.560000,2.620000,2.460000,2.530000,2.519458,29468800
2020-03-18,2.510000,2.620000,2.340000,2.430000,2.419875,42501300
2020-03-19,2.420000,2.620000,2.380000,2.560000,2.549333,40297700
2020-03-20,2.680000,2.800000,2.600000,2.660000,2.648917,49575200
2020-03-23,2.730000,2.800000,2.620000,2.650000,2.638958,46726700
2020-03-24,2.910000,2.990000,2.860000,2.940000,2.927750,47526100
2020-03-25,2.990000,3.150000,2.900000,3.070000,3.057208,48724400
2020-03-26,3.050000,3.190000,3.050000,3.150000,3.136875,35219800
2020-03-27,3.020000,3.080000,2.940000,3.010000,2.997458,31098800
2020-03-30,2.980000,3.060000,2.950000,3.050000,3.037292,20464500
2020-03-31,3.090000,3.200000,3.070000,3.100000,3.087083,29414900
2020-04-01,3.040000,3.070000,2.970000,2.970000,2.957625,22136800
2020-04-02,2.990000,3.080000,2.950000,3.040000,3.027333,23224700
2020-04-03,2.990000,3.020000,2.940000,2.970000,2.957625,17041700
2020-04-06,3.130000,3.190000,3.100000,3.160000,3.146833,23284600
2020-04-07,3.250000,3.280000,3.150000,3.160000,3.146833,27185900
2020-04-08,3.210000,3.280000,3.180000,3.240000,3.226500,18400700
2020-04-09,3.270000,3.340000,3.240000,3.270000,3.256375,20935300
2020-04-13,3.260000,3.270000,3.200000,3.250000,3.236458,11758400
2020-04-14,3.350000,3.430000,3.350000,3.370000,3.355958,27571000
2020-04-15,3.250000,3.260000,3.170000,3.230000,3.216542,23708900
2020-04-16,3.220000,3.680000,3.140000,3.460000,3.445583,83467900
2020-04-17,3.520000,3.560000,3.440000,3.480000,3.465500,34633100
2020-04-20,3.450000,3.520000,3.420000,3.440000,3.425667,16577500
2020-04-21,3.440000,3.450000,3.340000,3.360000,3.346000,22449500
